"job_title","salary_year_avg","job_id","job_posted_date","job_location","job_work_from_home","name"
"Data Analyst","650000.0",226942,"2023-02-20 15:13:33","Anywhere",1,"Mantys"
"Director of Analytics","336500.0",547382,"2023-08-23 12:04:42","Anywhere",1,"Meta"
"Associate Director- Data Insights","255829.5",552322,"2023-06-18 16:03:12","Anywhere",1,"AT&T"
"Data Analyst, Marketing","232423.0",99305,"2023-12-05 20:00:40","Anywhere",1,"Pinterest Job Advertisements"
"Data Analyst (Hybrid/Remote)","217000.0",1021647,"2023-01-17 00:17:23","Anywhere",1,"Uclahealthcareers"
"Principal Data Analyst (Remote)","205000.0",168310,"2023-08-09 11:00:01","Anywhere",1,"SmartAsset"
"Director, Data Analyst - HYBRID","189309.0",731368,"2023-12-07 15:00:13","Anywhere",1,"Inclusively"
"Principal Data Analyst, AV Performance Analysis","189000.0",310660,"2023-01-05 00:00:25","Anywhere",1,"Motional"
"Principal Data Analyst","186000.0",1749593,"2023-07-11 16:00:05","Anywhere",1,"SmartAsset"
"ERM Data Analyst","184000.0",387860,"2023-06-09 08:01:04","Anywhere",1,"Get It Recruit - Information Technology"
